MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenonbvGr,KitchenQual,TotRmsAbvGrd,Functiononl,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,price
RH,5858,Pave,non,IR1,Lvl,FR2,Gtl,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,0,354,1405,GasA,Ex,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999,Fin,2,511,TA,TA,203,68,0,0,0,0,non,non,non,0,6,2010,WD,157933.279456005
RM,1680,Pave,non,Reg,Lvl,Inside,Gtl,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,0,327,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,0,non,Detchd,1971,Unf,1,264,TA,TA,275,0,0,0,0,0,non,non,non,0,2,2010,COD,145291.245020389
RM,1680,Pave,non,Reg,Lvl,Inside,Gtl,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,225,525,GasA,TA,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,0,non,Detchd,1997,Unf,1,320,TA,TA,0,0,0,0,0,0,non,non,non,0,3,2010,WD,159672.017631819
RL,2280,Pave,non,Reg,Lvl,FR2,Gtl,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,0,341,855,GasA,TA,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975,Unf,2,440,TA,TA,173,0,0,0,0,0,non,non,non,0,6,2010,WD,164167.518301885
RL,2280,Pave,non,Reg,Lvl,FR2,Gtl,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,836,836,GasA,Ex,Y,SBrkr,836,0,0,836,0,0,1,0,2,1,TA,4,Typ,0,non,Attchd,1975,Unf,1,308,TA,TA,0,30,0,0,0,0,non,non,non,0,6,2010,WD,150891.638244053
RL,12858,Pave,non,IR1,Lvl,Inside,Gtl,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1590,1590,GasA,Ex,Y,SBrkr,1627,707,0,2334,0,0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009,Fin,3,751,TA,TA,144,133,0,0,0,0,non,non,non,0,1,2010,New,179460.96518734
RL,12883,Pave,non,IR1,Lvl,Corner,Gtl,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1544,1544,GasA,Ex,Y,SBrkr,1544,0,0,1544,0,0,2,0,3,1,Gd,7,Typ,0,non,Attchd,2009,RFn,3,868,TA,TA,0,35,0,0,0,0,non,non,non,0,6,2010,New,185034.62891405
RL,11520,Pave,non,Reg,Lvl,Inside,Gtl,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,0,1588,1698,GasA,Ex,Y,SBrkr,1698,0,0,1698,0,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2005,Fin,3,730,TA,TA,192,74,0,0,0,0,non,non,non,0,6,2010,WD,182352.192644656
RL,14122,Pave,non,IR1,Lvl,Inside,Gtl,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1794,1822,GasA,Ex,Y,SBrkr,1822,0,0,1822,0,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2005,RFn,3,678,TA,TA,0,119,0,0,0,0,non,non,non,0,2,2010,WD,183053.458213802
RL,14300,Pave,non,Reg,HLS,Inside,Mod,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,0,1473,2846,GasA,Ex,Y,SBrkr,2696,0,0,2696,1,0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003,Fin,3,958,TA,TA,220,150,0,0,0,0,non,non,non,0,6,2010,WD,187823.339254278
RL,13650,Pave,non,Reg,Lvl,Corner,Gtl,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,0,1093,1671,GasA,Ex,Y,SBrkr,1687,563,0,2250,1,0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002,Fin,3,756,TA,TA,238,130,0,0,0,0,non,non,non,0,6,2010,WD,186544.114327568
RL,7132,Pave,non,IR1,Lvl,Inside,Gtl,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2,484,TA,TA,120,49,0,0,0,0,non,non,non,0,4,2010,WD,158230.77520516
RL,18494,Pave,non,IR1,Lvl,Corner,Gtl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1324,1324,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,Gd,6,Typ,0,non,Attchd,2005,Fin,2,430,TA,TA,36,23,0,0,0,0,non,non,non,0,1,2010,WD,190552.829321091
RL,3203,Pave,non,Reg,Lvl,Inside,Gtl,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1129,1145,GasA,Ex,Y,SBrkr,1145,0,0,1145,0,0,2,0,2,1,Gd,6,Typ,0,non,Attchd,2006,Fin,2,437,TA,TA,100,116,0,0,0,0,non,non,non,0,1,2010,WD,147183.67487199
RL,13300,Pave,non,IR1,Lvl,Inside,Gtl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,0,58,384,GasA,Ex,Y,SBrkr,744,630,0,1374,1,0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004,Fin,2,400,TA,TA,100,0,0,0,0,0,non,non,non,0,6,2010,WD,185855.300905493
RL,8577,Pave,non,IR1,Lvl,Inside,Gtl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,847,886,0,1733,0,0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004,Fin,2,433,TA,TA,144,48,0,0,0,0,non,non,non,0,4,2010,WD,174350.470676986
RL,17433,Pave,non,IR2,Lvl,CulDSac,Gtl,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1629,1629,GasA,Ex,Y,SBrkr,1645,830,0,2475,0,0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1998,Fin,3,962,TA,TA,23,172,0,0,256,0,non,non,non,0,1,2010,WD,201740.620690863
RL,8987,Pave,non,Reg,Lvl,Inside,Gtl,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,TA,PConc,Gd,TA,non,Unf,0,Unf,0,1595,1595,GasA,Ex,Y,SBrkr,1595,0,0,1595,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005,RFn,3,880,TA,TA,144,0,0,0,0,0,non,non,non,0,5,2010,WD,162986.378895754
FV,9215,Pave,non,Reg,Lvl,Inside,Gtl,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1218,1218,GasA,Ex,Y,SBrkr,1218,0,0,1218,0,0,2,0,2,1,Gd,4,Typ,0,non,Attchd,2009,RFn,2,676,TA,TA,0,136,0,0,0,0,non,non,non,0,4,2010,New,162330.199085679
FV,10440,Pave,non,Reg,Lvl,Corner,Gtl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1414,Unf,0,54,1468,GasA,Ex,Y,SBrkr,1468,0,0,1468,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005,Fin,2,528,TA,TA,0,102,0,0,216,0,non,non,non,0,5,2010,WD,165845.938616539
RL,11920,Pave,non,Reg,Lvl,Inside,Gtl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,831,831,GasA,Ex,Y,SBrkr,831,828,0,1659,0,0,2,1,3,1,Gd,8,Typ,0,non,Attchd,2004,RFn,2,484,TA,TA,144,68,0,0,0,0,non,non,non,0,4,2010,WD,180929.622876974
RH,9800,Pave,non,Reg,Lvl,Corner,Gtl,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,N,FuseA,1012,0,0,1012,0,0,1,0,2,1,TA,5,Typ,0,non,Detchd,1920,Unf,1,429,TA,TA,121,0,80,0,0,0,non,non,non,0,4,2010,WD,163481.501519718
RL,15410,Pave,non,IR1,Lvl,CulDSac,Gtl,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250,TA,Gd,CBlock,TA,TA,Gd,BLQ,126,GLQ,859,223,1208,GasA,Ex,Y,SBrkr,1494,0,0,1494,1,0,2,0,3,1,TA,7,Typ,2,Fa,Attchd,1974,Fin,2,461,TA,TA,296,0,186,0,0,0,non,GdPrv,non,0,4,2010,WD,187798.076714233
RL,13143,Pave,non,IR1,Lvl,Inside,Gtl,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504,Gd,TA,PConc,Gd,TA,No,LwQ,250,GLQ,981,0,1231,GasA,Ex,Y,SBrkr,1251,1098,0,2349,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3,762,TA,TA,32,130,0,0,0,0,non,non,non,0,6,2010,WD,198822.198942566
RL,11134,Pave,non,Reg,Lvl,Inside,Gtl,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180,Gd,TA,PConc,Gd,TA,No,GLQ,1129,Unf,0,261,1390,GasA,Ex,Y,SBrkr,1402,823,0,2225,1,0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1992,RFn,3,713,TA,TA,198,30,0,0,0,0,non,non,non,0,6,2010,WD,194868.409899858
FV,4835,Pave,non,IR1,Lvl,CulDSac,Gtl,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298,Unf,0,190,1488,GasA,Ex,Y,SBrkr,1488,0,0,1488,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004,Fin,2,506,TA,TA,168,50,0,0,0,0,non,non,non,0,3,2010,WD,152605.298564403
FV,3515,Pave,Pave,Reg,Lvl,Inside,Gtl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,840,0,1680,0,0,2,1,2,1,Gd,3,Typ,0,non,Attchd,2004,RFn,2,588,TA,TA,0,111,0,0,0,0,non,non,non,0,1,2010,WD,147797.702836811
FV,3215,Pave,Pave,Reg,Lvl,Inside,Gtl,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120,Gd,TA,PConc,Gd,TA,Av,GLQ,280,Unf,0,320,600,GasA,Ex,Y,SBrkr,600,600,0,1200,0,0,2,1,2,1,Gd,4,Typ,0,non,Detchd,2004,RFn,2,480,TA,TA,0,172,0,0,0,0,non,non,non,0,4,2010,ConLD,150521.96899297
FV,2544,Pave,Pave,Reg,Lvl,Inside,Gtl,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,368,ALQ,42,190,600,GasA,Ex,Y,SBrkr,600,600,0,1200,1,0,2,1,2,1,Gd,4,Typ,0,non,Detchd,2004,RFn,2,480,TA,TA,0,172,0,0,0,0,non,non,non,0,2,2010,WD,146991.630153739
FV,2544,Pave,Pave,Reg,Lvl,Inside,Gtl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,Gd,TA,PConc,Gd,TA,No,GLQ,376,Unf,0,224,600,GasA,Ex,Y,SBrkr,600,636,0,1236,1,0,2,1,2,1,Gd,4,Typ,0,non,Detchd,2005,RFn,2,480,TA,TA,0,166,0,0,0,0,non,non,non,0,5,2010,WD,150306.307814534
FV,2980,Pave,non,Reg,Lvl,Corner,Gtl,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159,Gd,TA,PConc,Gd,TA,No,GLQ,466,Unf,0,290,756,GasA,Ex,Y,SBrkr,756,756,0,1512,1,0,2,1,2,1,Gd,5,Typ,0,non,Detchd,2000,Unf,2,440,TA,TA,0,32,0,0,0,0,non,non,non,0,5,2010,WD,151164.372534604
FV,2403,Pave,non,IR1,Lvl,FR2,Gtl,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,244,Unf,0,286,530,GasA,Ex,Y,SBrkr,530,550,0,1080,0,0,2,1,2,1,Gd,4,Typ,0,non,Attchd,2003,RFn,2,496,TA,TA,0,50,0,0,0,0,non,non,non,0,6,2010,WD,151133.706960953
FV,12853,Pave,Pave,IR1,Lvl,Inside,Gtl,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Ex,Po,No,GLQ,1032,Unf,0,610,1642,GasA,Ex,Y,SBrkr,1418,0,0,1418,1,0,1,1,1,1,Gd,6,Typ,1,Gd,Attchd,2010,RFn,3,852,TA,TA,160,192,0,224,0,0,non,non,non,0,4,2010,New,156214.042540726
FV,7379,Pave,non,IR1,Lvl,Inside,Gtl,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,484,Unf,0,491,975,GasA,Ex,Y,SBrkr,975,873,0,1848,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000,RFn,2,592,TA,TA,280,184,0,0,0,0,non,non,non,0,4,2010,WD,171992.760735142
FV,8000,Pave,non,Reg,Lvl,Inside,Gtl,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,833,Unf,0,659,1492,GasA,Ex,Y,SBrkr,1492,0,0,1492,1,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002,RFn,2,596,TA,TA,277,137,0,0,0,0,non,non,non,0,4,2010,WD,173214.912549738
RL,10456,Pave,non,IR1,Lvl,Inside,Gtl,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120,TA,TA,CBlock,TA,TA,No,GLQ,506,Unf,0,1323,1829,GasA,Gd,Y,SBrkr,1829,0,0,1829,1,0,2,0,4,1,TA,8,Typ,0,non,Attchd,1967,RFn,2,535,TA,TA,0,76,0,0,0,0,non,non,non,0,5,2010,WD,192429.187345783
RL,10791,Pave,non,Reg,Lvl,Inside,Gtl,6,5,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,Gd,TA,Mn,GLQ,1137,Unf,0,143,1280,GasA,Ex,Y,SBrkr,1280,1215,0,2495,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,Unf,2,660,TA,TA,224,32,0,0,0,0,non,non,non,0,3,2010,WD,190878.69508543
RL,18837,Pave,non,IR1,Lvl,Inside,Gtl,6,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,Gd,TA,Mn,ALQ,687,LwQ,46,491,1224,GasA,TA,Y,SBrkr,1287,604,0,1891,0,1,3,0,3,1,TA,7,Typ,1,TA,Attchd,1978,RFn,2,678,TA,TA,0,69,0,0,0,0,non,non,non,0,4,2010,WD,194542.544135519
RL,9600,Pave,non,Reg,Lvl,Inside,Gtl,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,329,Unf,0,386,715,GasA,TA,Y,SBrkr,930,715,0,1645,0,0,1,2,4,1,TA,7,Typ,0,non,Attchd,1971,RFn,2,441,TA,TA,0,78,0,0,0,0,non,GdWo,non,0,6,2010,WD,191849.439072822
RL,9600,Pave,non,Reg,Lvl,Inside,Gtl,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172,TA,TA,CBlock,TA,TA,No,Rec,698,Unf,0,534,1232,GasA,TA,Y,SBrkr,1232,0,0,1232,1,0,1,1,3,1,TA,6,Typ,0,non,Attchd,1966,RFn,2,490,TA,TA,0,224,0,0,0,0,non,non,non,0,4,2010,WD,176363.773907793
RL,9900,Pave,non,Reg,Lvl,Corner,Gtl,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,BLQ,1059,Unf,0,150,1209,GasA,Gd,Y,SBrkr,1209,0,0,1209,1,0,1,0,3,1,TA,6,Typ,0,non,Attchd,1966,RFn,2,504,TA,TA,0,0,120,0,0,0,non,non,non,0,4,2010,ConLD,176954.185412429
RL,9680,Pave,non,Reg,Lvl,Inside,Gtl,5,6,1967,1967,Gable,CompShg,Wd Sdng,Plywood,BrkFace,268,TA,TA,CBlock,TA,TA,No,BLQ,1010,Unf,0,500,1510,GasA,Ex,Y,SBrkr,1510,0,0,1510,1,0,2,0,3,1,Gd,6,Typ,0,non,Attchd,1967,RFn,2,517,TA,TA,0,40,0,0,204,0,non,GdPrv,non,0,4,2010,WD,176521.216975696
RL,10600,Pave,Pave,IR1,Lvl,Inside,Gtl,6,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,533,533,GasA,TA,Y,SBrkr,1131,644,0,1775,0,0,2,0,3,1,TA,8,Typ,0,non,Attchd,1964,Unf,2,480,TA,TA,0,172,0,0,0,0,non,non,non,0,5,2010,COD,179436.704810176
RL,13260,Pave,non,IR1,Lvl,Inside,Gtl,5,6,1962,2001,Hip,CompShg,HdBoard,HdBoard,BrkFace,144,TA,TA,CBlock,TA,TA,No,BLQ,1500,Unf,0,228,1728,GasA,TA,Y,SBrkr,1728,0,0,1728,2,0,2,0,6,2,TA,10,Typ,0,non,non,non,non,0,0,non,non,0,0,0,0,0,0,non,non,non,0,1,2010,Oth,220079.756777048
RL,9724,Pave,non,Reg,Lvl,Inside,Gtl,5,7,1952,2002,Gable,CompShg,MetalSd,MetalSd,BrkFace,265,Gd,TA,CBlock,TA,TA,No,LwQ,670,Unf,0,470,1140,GasA,Gd,Y,SBrkr,1929,532,0,2461,0,0,2,0,3,1,TA,7,Min2,2,Gd,Detchd,1994,Unf,2,400,TA,TA,0,0,0,0,0,0,non,GdWo,non,0,3,2010,WD,175502.918109444
RL,17360,Pave,non,Reg,Lvl,Corner,Gtl,6,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,Stone,340,TA,Gd,CBlock,TA,TA,No,Rec,300,Unf,0,482,782,GasA,TA,Y,SBrkr,1019,537,0,1556,0,0,2,0,3,1,TA,6,Typ,1,Gd,Attchd,1949,Unf,2,470,TA,TA,0,0,150,0,0,0,non,non,non,0,1,2010,WD,188321.073833569
RL,11380,Pave,non,IR1,Lvl,Inside,Gtl,6,8,1966,2008,Gable,CompShg,HdBoard,HdBoard,BrkFace,216,TA,TA,CBlock,TA,TA,Gd,GLQ,944,Unf,0,136,1080,GasA,Gd,Y,SBrkr,1128,0,0,1128,1,0,1,0,2,1,Gd,5,Typ,1,Gd,Attchd,1966,Unf,1,315,TA,TA,238,0,0,0,0,0,non,non,Shed,1500,1,2010,WD,163276.324450004
RL,8267,Pave,non,Reg,Lvl,Corner,Gtl,5,5,1958,1958,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1604,1604,GasA,TA,Y,SBrkr,1604,0,0,1604,0,0,2,0,4,2,TA,8,Typ,0,non,Attchd,1958,Unf,2,576,TA,TA,42,0,0,0,0,0,non,non,non,0,3,2010,WD,185911.366293097
RL,8197,Pave,non,Reg,Lvl,Inside,Gtl,7,5,2003,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,506,Gd,TA,PConc,Gd,TA,No,GLQ,1188,Unf,0,292,1480,GasA,Ex,Y,SBrkr,1480,0,0,1480,1,0,2,0,3,1,Gd,7,Typ,0,non,Attchd,2003,RFn,2,620,TA,TA,252,73,0,0,0,0,non,MnPrv,Shed,300,2,2010,WD,171392.830997252
RL,8050,Pave,non,IR1,Lvl,Inside,Gtl,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,150,TA,TA,CBlock,TA,TA,No,BLQ,856,Rec,162,125,1143,GasA,TA,Y,SBrkr,1143,0,0,1143,1,0,1,0,3,1,TA,6,Typ,0,non,Attchd,1959,RFn,1,308,TA,TA,0,0,0,0,0,0,non,GdPrv,non,0,5,2010,WD,174418.207020775
